unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
568,South Beauregard High School,Pierre Gustave Toutant-Beauregard,Longville,Beauregard,LA,LA,LOUISIANA,Beauregard Parish,South Beauregard High School
569,Robert E. Lee Junior High School,Robert E. Lee,Monroe,Ouachita,LA,LA,LOUISIANA,City of Monroe School District,Robert E. Lee Junior High School
230,Robert E. Lee High School,Robert E. Lee,Jacksonville,Duval,FL,FL,FLORIDA,DUVAL,ROBERT E. LEE HIGH SCHOOL
231,Jeb Stuart Middle School,"James Ewell Brown ""Jeb"" Stuart",Jacksonville,Duval,FL,FL,FLORIDA,DUVAL,J. E. B. STUART MIDDLE SCHOOL
232,Stonewall Jackson Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Jacksonville,Duval,FL,FL,FLORIDA,DUVAL,STONEWALL JACKSON ELEMENTARY SCHOOL
233,Jefferson Davis Middle School,Jefferson Davis,Jacksonville,Duval,FL,FL,FLORIDA,DUVAL,JEFFERSON DAVIS MIDDLE SCHOOL
3016,North Forrest High School,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,MS,MISSISSIPPI,FORREST COUNTY SCHOOL DISTRICT,NORTH FORREST HIGH SCHOOL
1247,Fort Davis Junior-Senior High School,Jefferson Davis,Fort Davis,Jeff Davis,TX,TX,TEXAS,FT DAVIS ISD,FT DAVIS SCHOOL
1249,Robert E. Lee Intermediate School,Robert E. Lee,Gainesville,Cooke,TX,TX,TEXAS,GAINESVILLE ISD,ROBERT E LEE INT
726,North Forrest Elementary School,Nathan Bedford Forrest,Hattiesburg,Forrest,MS,MS,MISSISSIPPI,FORREST COUNTY SCHOOL DISTRICT,NORTH FORREST ATTENDANCE CENTER
727,Lee Elementary School,Robert E. Lee,Jackson,Hinds,MS,MS,MISSISSIPPI,JACKSON PUBLIC SCHOOL DIST,LEE ELEMENTARY SCHOOL
107,Lee High School,Robert E. Lee,Huntsville,Madison,AL,AL,ALABAMA,Huntsville City,Lee High Sch
105,Beauregard High School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,AL,ALABAMA,Lee County,Beauregard High Sch
5013,Deshler Career Technical Center,James Deshler,Tuscumbia,Colbert,AL,AL,ALABAMA,Tuscumbia City,Deshler High Sch
5014,Deshler Middle School,James Deshler,Tuscumbia,Colbert,AL,AL,ALABAMA,Tuscumbia City,Deshler Middle Sch
5018,Lee-Jackson Elementary School,Jefferson Davis,Mathews,Mathews,VA,VA,VIRGINIA,MATHEWS CO PBLC SCHS,LEE-JACKSON ELEM
5018,Lee-Jackson Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Mathews,Mathews,VA,,,,
1860,W.H. Gaston Middle School,W.H. Gaston,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,W H GASTON MIDDLE
1861,Oran M. Roberts Elementary School,Oran Milo Roberts,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,ORAN M ROBERTS EL
5170,Mosby Woods Elementary School,John Singleton Mosby,Springfield,Fairfax,VA,VA,VIRGINIA,FAIRFAX CO PBLC SCHS,MOSBY WOODS ELEM
1827,Jeff Davis Elementary School,Jefferson Davis,Biloxi,Harrison,MS,MS,MISSISSIPPI,BILOXI PUBLIC SCHOOL DIST,JEFF DAVIS ELEMENTARY SCHOOL
2034,George Elementary School,James Zachariah George,Jackson,Hinds,MS,MS,MISSISSIPPI,JACKSON PUBLIC SCHOOL DIST,GEORGE ELEMENTARY SCHOOL
564,Beauregard Alternative School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,,,,
565,East Beauregard High School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,LA,LOUISIANA,Beauregard Parish,East Beauregard High School
566,East Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,DeRidder,Beauregard,LA,LA,LOUISIANA,Beauregard Parish,East Beauregard Elementary School
567,South Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,Longville,Beauregard,LA,LA,LOUISIANA,Beauregard Parish,South Beauregard Elementary School
5030,Roger Q. Mills Elementary,Roger Q. Mills,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,ROGER Q MILLS EL
